{Transaction #1: 1100101000110001, Gap: 0}
{Transaction #2: 0101100000110010, Gap: 0}
{Transaction #3: 0110100011100111, Gap: 0}
{Transaction #4: 0100110100001000, Gap: 0}
{Transaction #5: 1101111100000000, Gap: 0}
{Transaction #6: 0100010111101001, Gap: 0}
{Transaction #7: 1011110011110000, Gap: 0}
{Transaction #8: 1000110010001000, Gap: 0}
{Transaction #9: 1101111100100011, Gap: 0}
{Transaction #10: 1110010011000101, Gap: 0}
{Transaction #11: 0100100010101000, Gap: 0}
{Transaction #12: 0000001001110001, Gap: 0}
{Transaction #13: 1111000011100110, Gap: 0}
{Transaction #14: 1011110101011000, Gap: 0}
{Transaction #15: 0111111011101111, Gap: 0}
{Transaction #16: 1011110110010000, Gap: 0}
{Transaction #17: 0100001001100000, Gap: 0}
{Transaction #18: 1100111101000110, Gap: 0}
{Transaction #19: 1100100100101010, Gap: 1}
{Transaction #20: 1010110010111101, Gap: 0}
