{Transaction #1: 00000000000000000000000000000000, Gap: 0}
{Transaction #2: 11110101010101011001111101111111, Gap: 0}
{Transaction #3: 11001110001111111110111101001100, Gap: 0}
{Transaction #4: 11000110111000101111011100011001, Gap: 0}
{Transaction #5: 00010110010111110101001010100111, Gap: 0}
{Transaction #6: 11110010001101011101011100010101, Gap: 0}
{Transaction #7: 01100011110101101110110110010111, Gap: 0}
{Transaction #8: 10111011111010000110001111001101, Gap: 0}
{Transaction #9: 11001010110110101010001100000011, Gap: 0}
{Transaction #10: 01101001011110111011010101010011, Gap: 0}
{Transaction #11: 01101100001110110101111011100111, Gap: 0}
{Transaction #12: 01010011111010101100100001110110, Gap: 0}
{Transaction #13: 01111001100010011101001000100101, Gap: 0}
{Transaction #14: 10011011110110001100100101110101, Gap: 0}
{Transaction #15: 10011011111111111110110000101110, Gap: 0}
{Transaction #16: 10100000111001111110011101001001, Gap: 0}
{Transaction #17: 10000110101101010011011010100100, Gap: 0}
{Transaction #18: 11111010101001110011000001110100, Gap: 0}
{Transaction #19: 10111101011010000101111011110001, Gap: 0}
{Transaction #20: 11000001110010100001011101011100, Gap: 0}
{Transaction #21: 01110100110111111110000000100010, Gap: 0}
{Transaction #22: 10110101110010101001101101010010, Gap: 0}
{Transaction #23: 00001010001000110011010111011110, Gap: 0}
{Transaction #24: 00111111011111011100000011000001, Gap: 0}
{Transaction #25: 11000110111000101011001101100110, Gap: 0}
{Transaction #26: 11010010101000010110001110101100, Gap: 0}
{Transaction #27: 11010000010110100111101010110111, Gap: 0}
{Transaction #28: 11001111100111011010111011011010, Gap: 0}
{Transaction #29: 00101010111100101110101110000110, Gap: 0}
{Transaction #30: 10011010010001010001100011010000, Gap: 0}
{Transaction #31: 10011111011001000010010010001111, Gap: 0}
{Transaction #32: 00001000101111101011100011010011, Gap: 0}
{Transaction #33: 11011111000011110101011010001111, Gap: 0}
{Transaction #34: 11010011001000111110101000001001, Gap: 0}
{Transaction #35: 01000001011101011011010001110111, Gap: 0}
{Transaction #36: 10101001000001111110001100001110, Gap: 0}
{Transaction #37: 01010001011101000101010100101100, Gap: 0}
{Transaction #38: 11110010011111001100011010100101, Gap: 0}
{Transaction #39: 10111101110111101000110111011111, Gap: 0}
{Transaction #40: 00011111011001100011100011010101, Gap: 0}
{Transaction #41: 11100011010011000100010100001100, Gap: 0}
{Transaction #42: 11111010011110010110000110000011, Gap: 0}
{Transaction #43: 10101110001010000011011111010011, Gap: 0}
{Transaction #44: 01001010011010001000111110010111, Gap: 0}
{Transaction #45: 11110010010011001110110001100101, Gap: 0}
{Transaction #46: 01011101110111101001001011100110, Gap: 0}
{Transaction #47: 00101100100111110111001010011001, Gap: 0}
{Transaction #48: 00101001110111111110111011100100, Gap: 0}
{Transaction #49: 00001111111110101000101110011100, Gap: 0}
{Transaction #50: 00001011011011000011110011000011, Gap: 0}
{Transaction #51: 11011111110101100000010100100010, Gap: 0}
{Transaction #52: 11111010110100011010010010001011, Gap: 0}
{Transaction #53: 10101101110000101011100000011001, Gap: 0}
{Transaction #54: 11010000011001011011001101110111, Gap: 0}
{Transaction #55: 11101001010111100001101001010011, Gap: 0}
{Transaction #56: 01011011110001111000000000000110, Gap: 0}
{Transaction #57: 11010010110110101011100011000001, Gap: 0}
{Transaction #58: 00101100110101000111010111010001, Gap: 0}
